,Provincia,Partido,Localidad,Poblacion,ADSL,Cable-Modem,Dialup,Fibra Optica,Satelital,Wireless,Telefonia Fija,3G,4G
249,Formosa,Pilagas,El Espinillo,4060,No,No,No,No,No,Si,Si,Si,Si
250,Formosa,Pilagas,Laguna Gallo,261,No,No,No,No,No,No,No,No,No
251,Formosa,Pilagas,Mision Tacaagle,2244,No,No,No,No,No,Si,Si,No,Si
252,Formosa,Pilagas,Porton Negro,417,No,No,No,No,No,No,No,No,No
253,Formosa,Pilagas,Tres Lagunas,1598,Si,No,No,No,Si,Si,Si,No,Si
254,Jujuy,Valle Grande,Valle Grande,538,No,No,No,No,No,Si,No,No,No
255,Jujuy,Yavi,Barrios,187,No,No,No,Si,No,No,No,No,No
256,Jujuy,Yavi,Cangrejillos,181,No,No,No,Si,No,No,No,No,No
257,Jujuy,Yavi,El Condor,146,No,No,No,No,No,No,No,No,No
258,Jujuy,Yavi,La Intermedia,178,No,No,No,Si,No,No,No,No,No
259,Jujuy,Yavi,La Quiaca,16874,Si,No,No,Si,Si,Si,Si,No,Si
260,Jujuy,Yavi,Llulluchayoc,91,No,No,No,No,No,No,No,No,No
261,Jujuy,Yavi,Pumahuasi,233,No,No,No,Si,No,No,No,No,Si
262,Jujuy,Yavi,San Jose,0,No,No,No,No,No,No,No,No,No
263,Jujuy,Yavi,Yavi,378,No,No,No,No,No,No,No,No,No
264,Jujuy,Yavi,Yavi Chico,33,No,No,No,Si,No,No,No,No,No
265,La Pampa,Atreuco,Doblas,1586,No,Si,No,Si,Si,Si,Si,No,No
266,La Pampa,Atreuco,Macachin,4814,No,No,No,Si,Si,Si,Si,No,Si
267,La Pampa,Atreuco,Miguel Riglos,2034,No,No,No,Si,Si,Si,Si,No,Si
268,La Pampa,Atreuco,Rolon,678,No,No,No,No,Si,Si,Si,No,Si
269,La Pampa,Atreuco,Tomas M. Anchorena,307,No,No,No,No,Si,No,Si,No,No
270,La Pampa,Caleu Caleu,Anzoategui,68,No,No,No,No,Si,No,No,No,No
271,La Pampa,Caleu Caleu,La Adela,1904,No,Si,No,No,Si,Si,No,Si,Si
272,La Pampa,Capital,Anguil,1705,No,No,No,Si,Si,Si,Si,Si,Si
273,Mendoza,San Martin,San Martin,79476,Si,No,No,Si,No,Si,No,Si,Si
274,Mendoza,San Martin,Tres Porteñas,2545,No,No,No,Si,No,Si,Si,Si,Si
275,Mendoza,San Rafael,25 De Mayo,1450,No,Si,Si,No,No,Si,Si,Si,Si
276,Mendoza,San Rafael,Barrio Campos El Toledano,956,No,No,No,No,No,No,No,Si,Si
277,Mendoza,San Rafael,Barrio Echeverria,0,No,No,No,No,No,No,No,Si,Si
278,Mendoza,San Rafael,Barrio El Nevado,160,No,No,No,No,No,No,No,No,No
279,Mendoza,San Rafael,Barrio Empleados De Comercio,208,No,No,No,No,No,No,No,No,No
280,Mendoza,San Rafael,Barrio Intendencia,120,No,No,No,No,No,No,No,Si,Si
281,Mendoza,San Rafael,Barrio Las Rosas,0,No,No,No,No,No,No,No,No,No
282,Mendoza,San Rafael,Barrio Primavera,0,No,No,No,No,No,No,No,No,No
283,Mendoza,San Rafael,Capitan Montoya,362,No,No,No,No,No,Si,No,Si,Si
